# Yarn → Mojmap 成员对照表（m413 gradlew mojmapMembers 生成，勿手改）
# 过滤：仅本仓源码出现过的标识符 × 名字确实变了的成员；列=种类(M/F)	Yarn名	Mojmap名	宿主类(样本)
F	displayName	tabListDisplayName	PlayerInfo
F	done	finished	WorldUpgrader
F	done	giftGivenDuringThisRun	GiveGiftToHero
F	done	stop	ProgressScreen
F	done	stopped	AbstractTickableSoundInstance
F	duration	effectDurationTicks	ClientboundUpdateMobEffectPacket
F	duration	expectedDelay	GameTestEvent
F	duration	recordingDuration	IoSummary
F	duration	timeWorkedSoFar	UseBonemeal
F	dx	deltaX	EntitySelectorParser
F	dx	x	BlockPos$3
F	dy	deltaY	EntitySelectorParser
F	dy	y	BlockPos$3
F	dz	deltaZ	EntitySelectorParser
F	empty	allEmpty	PathNavigationRegion
F	end	limit	FastBufferedInputStream
F	end	targetPosition	PrepareRamNearestTarget$RamCandidate
F	end	to	ClipBlockStateContext,ClipContext
F	entities	active	EntityTickList
F	entities	entityInfoList	StructureTemplate
F	entities	nearbyEntities	NearestVisibleLivingEntities
